가게명,요리,개업,운영상태,별점,리뷰
압구정화로구이 교대역점,"육류,고기요리",,영업 중,,리뷰 542
비어룸,이탈리아음식,,영업 중,별점4.51,리뷰 999+
고기꾼김춘배 강남점,돼지고기구이,,영업 중,별점4.47,리뷰 999+
양파이 강남점,양꼬치,,영업 중,별점4.55,리뷰 999+
모리가츠 강남역점,돈가스,,영업 중,,리뷰 999+
오제제 강남,일식당,,영업 종료,,리뷰 999+
신동궁감자탕 역삼직영점,감자탕,,24시간 영업,별점4.31,리뷰 999+
오레노라멘 강남점,일본식라면,,영업 종료,별점4.71,리뷰 999+
편편집 강남역2호점,샤브샤브,,영업 중,,리뷰 872
할랄가이즈 강남점,양식,,영업 중,별점4.44,리뷰 999+
큰물참치 강남점,생선회,,영업 중,별점4.37,리뷰 999+
바게트케이,베이커리,,영업 종료,별점4.49,리뷰 999+
칸나닭집,닭요리,,영업 중,별점4.61,리뷰 819
꼬끼오 장작구이,한식,,영업 중,,리뷰 485
카츠8 강남점,일식당,,영업 종료,별점4.44,리뷰 999+
헬로 브라질,"스테이크,립",,영업 중,,리뷰 764
먼데이블루스,와인,,영업 중,별점4.5,리뷰 999+
갓포 이케맨이자카야,이자카야,,영업 중,별점4.59,리뷰 945
강남복칼국수,복어요리,,영업 중,별점4.58,리뷰 999+
겟썸커피 Downstairs,"카페,디저트",,영업 중,별점4.51,리뷰 999+
어글리,바(BAR),,영업 중,별점4.35,리뷰 577
아방궁,중식당,,24시간 영업,별점4.28,리뷰 999+
팀호완 강남역점,"딤섬,중식만두",,곧 영업 종료,,리뷰 95
매우매오 강남역본점,"육류,고기요리",,영업 중,별점4.67,리뷰 999+
메이탄 강남점,중식당,,곧 영업 종료,별점4.54,리뷰 999+
장원김밥 서초점,김밥,,영업 종료,별점4.43,리뷰 999+
용용선생 강남역점,요리주점,,영업 중,별점4.59,리뷰 999+
일품각 역삼동점,양꼬치,,영업 중,별점4.36,리뷰 789
시티갤러리카페 본점,브런치카페,,영업 중,,리뷰 949
장서는날,향토음식,,영업 중,별점4.34,리뷰 999+
멘노아지 강남본점,일본식라면,,영업 종료,,리뷰 999+
논현오뎅,"오뎅,꼬치",,영업 중,별점4.87,리뷰 999+
자매수산,생선회,,영업 중,별점4.29,리뷰 999+
설빙 강남역점,빙수,,영업 중,별점4.2,리뷰 999+
신도세기 강남역점,돼지고기구이,,영업 중,별점4.29,리뷰 999+
어로선목로집 강남점,"맥주,호프",,영업 중,,리뷰 999+
스트릿 SPC스퀘어점,아시아음식,,곧 영업 종료,별점4.34,리뷰 999+
샤브로21 강남,샤브샤브,새로오픈,영업 종료,,리뷰 381
류센소 강남점,일본식라면,,영업 종료,,리뷰 999+
이자카야 오레노유메 강남역점,이자카야,,영업 중,,리뷰 697
카페슬로우,바(BAR),,영업 중,,리뷰 609
강남커피 강남점,"카페,디저트",,영업 중,,리뷰 999+
정통집 강남점,돼지고기구이,,영업 중,별점4.26,리뷰 999+
아이러브펍,"맥주,호프",,영업 중,별점4.46,리뷰 999+
밀도 강남역점,베이커리,,영업 중,별점4.64,리뷰 398
엘빈에비뉴 라운지바,요리주점,,영업 중,,리뷰 999+
한방대가삼계탕 강남본점,"백숙,삼계탕",,영업 중,별점4.32,리뷰 999+
호랑가시,"카페,디저트",,곧 영업 종료,,리뷰 999+
아세아누들 by. 베이코닉 누들바 강남점,아시아음식,새로오픈,영업 중,,리뷰 243
맛깔시장 강남역점,요리주점,,영업 중,,리뷰 999+
동경규동 강남점,덮밥,,영업 종료,,리뷰 999+
삼성각,중식당,,곧 영업 종료,별점4.39,리뷰 999+
매드포갈릭 강남삼성타운점,이탈리아음식,,영업 종료,,리뷰 999+
또보겠지떡볶이집 강남헬로몽키점,분식,,곧 영업 종료,별점4.65,리뷰 999+
무한미니훠궈&마라탕,중식당,,영업 중,,리뷰 999+
사가라멘 강남역점,일본식라면,,영업 종료,별점4.34,리뷰 999+
스테이터 강남본점,"스테이크,립",,영업 중,별점4.46,리뷰 999+
연돈볼카츠 튀김덮밥도시락 강남CGV점,돈가스,,곧 영업 종료,,리뷰 105
미나리밭오리사냥 강남역점,오리요리,,영업 중,,리뷰 999+
노티드 강남 카카오,카페,,영업 종료,별점4.54,리뷰 999+
팡뮤제 베이커리 강남본점,베이커리,,영업 중,,리뷰 602
보승회관 강남역직영점,국밥,,24시간 영업,별점4.2,리뷰 999+
곱창고 강남역점,"곱창,막창,양",,영업 중,별점4.56,리뷰 999+
서진식당,한식,,영업 종료,별점4.43,리뷰 732
스타벅스 강남R점,카페,,영업 중,별점4.51,리뷰 999+
한율막국수,한식,,영업 종료,별점4.31,리뷰 341
아카사카일식 강남역본점,일식당,,영업 중,별점4.61,리뷰 706
딸부자네불백 강남역점,"육류,고기요리",,24시간 영업,별점4.31,리뷰 999+
야키토리 나루토 강남,"일식튀김,꼬치",,영업 중,,리뷰 786
빌리엔젤 강남역점,케이크전문,,영업 중,별점4.33,리뷰 999+
던킨 라이브 강남,도넛,,영업 중,별점4.46,리뷰 999+
만원수산,생선회,,영업 중,별점4.45,리뷰 999+
안안 강남직영점,베트남음식,,영업 종료,,리뷰 539
라스트춘선 강남,한식,,영업 중,,리뷰 804
베이커리로컬 강남역점,베이커리,,영업 중,별점4.4,리뷰 999+
옥된장 역삼점,한식,,영업 중,,리뷰 999+
쭈꾸미랩소디 강남점,주꾸미요리,,영업 중,,리뷰 999+
랭맥,"맥주,호프",,영업 중,별점4.33,리뷰 999+
교대이층집 강남CGV점,"육류,고기요리",,영업 중,별점4.4,리뷰 792
중경마라탕 강남2호점,중식당,,영업 중,별점4.52,리뷰 999+
빨간의자집 강남역점,"육류,고기요리",,영업 중,,리뷰 999+
활어회명인수산 활명수,생선회,,영업 중,,리뷰 981
투뿔등심 강남점,소고기구이,,영업 중,별점4.36,리뷰 999+
우탭 강남점,소고기구이,,영업 중,별점4.49,리뷰 812
닭갈비전,닭갈비,,영업 중,별점4.54,리뷰 999+
아브라소812,와인,,영업 중,별점4.64,리뷰 999+
버거스올마이티 강남역점,햄버거,,영업 중,별점4.74,리뷰 999+
라장양갈비양꼬치 무한리필,양꼬치,,영업 중,,리뷰 999+
이썸,바(BAR),,영업 중,별점4.52,리뷰 825
필메이트 강남점,"카페,디저트",,영업 중,,리뷰 502
소호정 강남점,국수,,곧 영업 종료,별점4.39,리뷰 999+
카페온화 강남점,카페,,영업 중,별점4.62,리뷰 999+
청담등심 강남역점,소고기구이,,영업 중,별점4.65,리뷰 999+
이자카야 규네,이자카야,,영업 중,별점4.95,리뷰 224
돝고기506,돼지고기구이,,영업 중,별점4.43,리뷰 999+
심 이자카야 강남역점,이자카야,,영업 중,,리뷰 938
초선과여포,중식당,,영업 중,별점4.42,리뷰 999+
담뿍화로 역삼2호점,"육류,고기요리",,영업 중,,리뷰 722
나에코,일식당,,영업 중,,리뷰 500
The november 라운지 강남역KG타워점,"카페,디저트",,24시간 영업,,리뷰 107
탄탄면공방 강남점,아시아음식,,영업 종료,별점4.45,리뷰 999+
청담돈가스,돈가스,,영업 종료,별점4.33,리뷰 999+
효뜨 강남점,아시아음식,,영업 종료,,리뷰 274
한방삼계탕,"백숙,삼계탕",,영업 중,별점4.46,리뷰 999+
브라운홀릭,카페,,영업 중,별점4.44,리뷰 999+
을밀대 역삼점,냉면,,영업 중,별점4.22,리뷰 999+
어퍼앤언더,"카페,디저트",,영업 중,,리뷰 999+
베이커스트 브라운,"카페,디저트",,영업 중,,리뷰 999+
석문어,한식,새로오픈,영업 중,,리뷰 999+
아티제 삼성타운점,카페,,영업 종료,별점4.51,리뷰 999+
올리앤아보,"다이어트,샐러드",,오늘 휴무,별점4.75,리뷰 491
bd버거 강남,햄버거,새로오픈,영업 종료,,리뷰 378
백운축산 꽃갈비 강남점,"육류,고기요리",,영업 중,,리뷰 580
봉피양 강남점,한식,,영업 중,별점4.43,리뷰 402
